"COUNTRY","Country","WEEK","Week number","GENDER","Gender","AGE","Age","VARIABLE","Variable","YEAR","Year","Value","Flag Codes","Flags"
"EST","Estonia","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",412,,
"EST","Estonia","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",376,,
"EST","Estonia","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",332,,
"EST","Estonia","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",323,,
"ISR","Israel","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1106,,
"ISR","Israel","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1045,,
"ISR","Israel","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1069,,
"ISR","Israel","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1131,,
"ISR","Israel","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1018,,
"LVA","Latvia","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",710,,
"LVA","Latvia","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",740,,
"LVA","Latvia","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",636,,
"LVA","Latvia","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",591,,
"LVA","Latvia","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",575,,
"LTU","Lithuania","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",993,,
"LTU","Lithuania","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",914,,
"LTU","Lithuania","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",814,,
"LTU","Lithuania","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",846,,
"LTU","Lithuania","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",757,,
"SVN","Slovenia","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",538,,
"SVN","Slovenia","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",504,,
"SVN","Slovenia","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",524,,
"SVN","Slovenia","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",420,,
"SVN","Slovenia","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",471,,
"COL","Colombia","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",5133,,
"COL","Colombia","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",5204,,
"COL","Colombia","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",1278,,
"COL","Colombia","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",5179,,
"COL","Colombia","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",5177,,
"IRL","Ireland","2","2","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",917,,
"IRL","Ireland","5","5","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",690,,
"IRL","Ireland","4","4","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",758,,
"IRL","Ireland","1","1","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",950,,
"IRL","Ireland","3","3","TOTAL","Total","TOTAL","Total","ALLCAUNB","All-cause deaths (number)","2023","2023",812,,
